TRANSACTION_AMT,OCCUPATION,CMTE_NM,CMTE_PTY_AFFILIATION
500,HOBO,HILLARY FOR AMERICA,DEM
500,HEALTHCARE ADMINISTRATOR,ANTHONY BROWN FOR CONGRESS,DEM
500,HEAD OF WORLDWIDE GOVERNMENT AFFAIRS,MIKE HONDA FOR CONGRESS,DEM
500,HEAD OF FRANCHISE OPERATIONS,HILLARY FOR AMERICA,DEM
500,HEAD OF FINANCE,HILLARY FOR AMERICA,DEM
500,HAIR STYLIST,WILL JAWANDO FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,FRIENDS OF SHERROD BROWN,DEM
500,GOVERNMENT RELATIONS,WYDEN FOR SENATE,DEM
500,GOVERNMENT RELATIONS,COMMITTEE TO RE-ELECT LINDA SANCHEZ,DEM
500,GOVERNMENT RELATIONS,HIMES FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,JEFF MERKLEY FOR OREGON,DEM
500,GOVERNMENT RELATIONS,CONNOLLY FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,BLUMENTHAL FOR CONNECTICUT,DEM
500,GOVERNMENT RELATIONS,GLENN IVEY FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,KYRSTEN SINEMA FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,CITIZENS FOR BOYLE,DEM
500,GOVERNMENT RELATIONS,MISSOURIANS FOR KANDER,DEM
500,GOVERNMENT RELATIONS,MISSOURIANS FOR KANDER,DEM
500,GOVERNMENT RELATIONS,NITA LOWEY FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,PALLONE FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,FRIENDS FOR GREGORY MEEKS,DEM
500,GOVERNMENT RELATIONS,SCOTT PETERS FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,DSCC,DEM
500,GOVERNMENT RELATIONS,DSCC,DEM
500,GOVERNMENT RELATIONS,DSCC,DEM
500,GOVERNMENT RELATIONS,DSCC,DEM
500,GOVERNMENT RELATIONS,SANFORD BISHOP FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,BENNET FOR COLORADO,DEM
500,GOVERNMENT RELATIONS,AL FRANKEN FOR SENATE ,DEM
500,GOVERNMENT RELATIONS,FRIENDS OF ROSA DELAURO,DEM
500,GOVERNMENT RELATIONS,CLEAVER FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,GILLIBRAND FOR SENATE,DEM
500,GOVERNMENT RELATIONS,GLENN IVEY FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,PEOPLE FOR BEN,DEM
500,GOVERNMENT RELATIONS,GLENN IVEY FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,SHERMAN FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,DAN LIPINSKI FOR CONGRESS,DEM
500,GOVERNMENT RELATIONS,BLUMENTHAL FOR CONNECTICUT,DEM
500,GOVERNMENT AFFAIRS DIRECTOR,HOYER FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,JEFF MERKLEY FOR OREGON,DEM
500,GOVERNMENT AFFAIRS,BLUMENTHAL FOR CONNECTICUT,DEM
500,GOVERNMENT AFFAIRS,BLUMENTHAL FOR CONNECTICUT,DEM
500,GOVERNMENT AFFAIRS,HEIDI FOR SENATE,DEM
500,GOVERNMENT AFFAIRS,MARK TAKAI FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,MISSOURIANS FOR KANDER,DEM
500,GOVERNMENT AFFAIRS,BONAMICI FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,WYDEN FOR SENATE,DEM
500,GOVERNMENT AFFAIRS,BENNET FOR COLORADO,DEM
500,GOVERNMENT AFFAIRS,BENNET FOR COLORADO,DEM
500,GOVERNMENT AFFAIRS,HEIDI FOR SENATE,DEM
500,GOVERNMENT AFFAIRS,HEIDI FOR SENATE,DEM
500,GOVERNMENT AFFAIRS,GRAHAM FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,GRAHAM FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,CITIZENS TO ELECT RICK LARSEN,DEM
500,GOVERNMENT AFFAIRS,"KUSTER FOR CONGRESS, INC",DEM
500,GOVERNMENT AFFAIRS,BONAMICI FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,BONAMICI FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,GLENN IVEY FOR CONGRESS,DEM
500,GOVERNMENT AFFAIRS,BENNET FOR COLORADO,DEM
500,GOVERNMENT AFFAIRS,BENNET FOR COLORADO,DEM
500,GOVERNMENT AFFAIRS,CHRIS COONS FOR DELAWARE,DEM
500,GOVERNMENT AFFAIRS,BLUMENTHAL FOR CONNECTICUT,DEM
500,GOVERNMENT  AFFAIRS CONSULTANT,DOYLE FOR CONGRESS COMMITTEE,DEM
500,GOVERNMENT,DSCC,DEM
500,GGA,MCCASKILL FOR MISSOURI ,DEM
500,GEORGETOWN UNIVERSITY,JAMIE RASKIN FOR CONGRESS,DEM
500,GEOLOGIST,LESSIG2016.US,DEM
500,GENERAL MANAGER,GLENN IVEY FOR CONGRESS,DEM
500,GENERAL MANAGER,GLENN IVEY FOR CONGRESS,DEM
500,GENERAL COUNSEL,HOYER FOR CONGRESS,DEM
500,GENERAL COUNSEL,DAVIS FOR CONGRESS,DEM
500,FOUNDER/CHAIRMAN,DONNA EDWARDS FOR SENATE,DEM
500,FOUNDER AND PRINCIPAL,"KUSTER FOR CONGRESS, INC",DEM
500,FOUNDER & PRINCIPAL ATTORNEY,JAMIE RASKIN FOR CONGRESS,DEM
500,FOUNDER & CEO,FRIENDS OF CHERI BUSTOS,DEM
500,FOUNDER & CEO,DAVIS FOR CONGRESS,DEM
500,FOUNDER,GARAMENDI FOR CONGRESS,DEM
500,FOUNDER,BONNIE WATSON COLEMAN FOR CONGRESS,DEM
500,FOREIGN POLICY ANALYST,HILLARY FOR AMERICA,DEM
500,FOREIGN AFFAIRS OFFICER,JAMIE RASKIN FOR CONGRESS,DEM
500,FINANCIAL SERVICES,FRIENDS OF JOHN DELANEY,DEM
500,FINANCIAL ADVISOR,HOYER FOR CONGRESS,DEM
500,FILMMAKER,HILLARY FOR AMERICA,DEM
500,FEDERAL AFFAIRS,WILL JAWANDO FOR CONGRESS,DEM
500,FARMER,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
500,FARMER,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
500,FARMER,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
500,FARMER,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
500,FAMILY PRACTICE PHYSICIAN,MIKE HONDA FOR CONGRESS,DEM
500,FAIR LENDING DIRECTOR,GLENN IVEY FOR CONGRESS,DEM
500,EXTERNAL RELATIONS,GLENN IVEY FOR CONGRESS,DEM
500,EXECUTIVE VP/CEO,BLUMENAUER FOR CONGRESS,DEM
500,"EXECUTIVE VP, TV",HEIDI FOR SENATE,DEM
500,"EXECUTIVE VP, PRINCIPAL",ANTHONY BROWN FOR CONGRESS,DEM
500,"EXECUTIVE VICE PRESIDENT, GOVERNMENT A",GRAHAM FOR CONGRESS,DEM
500,EXECUTIVE VICE PRESIDENT,FRIENDS OF SCHUMER,DEM
500,EXECUTIVE VICE PRESIDENT,CORY BOOKER FOR SENATE,DEM
500,EXECUTIVE VICE PRESIDENT,FRIENDS OF JOHN DELANEY,DEM
500,EXECUTIVE VICE PRESIDENT,LON JOHNSON FOR CONGRESS,DEM
500,EXECUTIVE VICE PRESIDENT,JAMIE RASKIN FOR CONGRESS,DEM
500,EXECUTIVE OFFICER,ANTHONY BROWN FOR CONGRESS,DEM
500,EXECUTIVE DIRECTOR OF ADVOCACY AND POL,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
500,EXECUTIVE DIRECTOR,FRIENDS OF SCHUMER,DEM
500,EXECUTIVE DIRECTOR,JAMIE RASKIN FOR CONGRESS,DEM
500,EXECUTIVE DIRECTOR,INGRID TURNER FOR CONGRESS,DEM
500,EXECUTIVE DIRECTOR,WYDEN FOR SENATE,DEM
500,EXECUTIVE DIRECTOR,HILLARY FOR AMERICA,DEM
500,EXECUTIVE DIRECTOR,JAMIE RASKIN FOR CONGRESS,DEM
500,EXECUTIVE DIRECTOR,WYDEN FOR SENATE,DEM
500,EXECUTIVE,BLUMENTHAL FOR CONNECTICUT,DEM
500,EXECUTIVE,JOE KENNEDY FOR CONGRESS,DEM
500,EXECUTIVE,HOYER FOR CONGRESS,DEM
500,EXECUTIVE,BLUMENAUER FOR CONGRESS,DEM
500,EXECUTIVE,WILL JAWANDO FOR CONGRESS,DEM
500,EXECUTIVE,DONNA EDWARDS FOR SENATE,DEM
500,EXECUTIVE,DCCC,DEM
500,EXECUTIVE,HILLARY FOR AMERICA,DEM
500,EXECUTIVE,BERNIE 2016,DEM
500,EXECUTIVE,GLENN IVEY FOR CONGRESS,DEM
500,EXEC DIRECTOR,BARVE FOR CONGRESS,DEM
500,"EVP, LEGAL & REGULATORY",JOSH GOTTHEIMER FOR CONGRESS,DEM
500,"EVP, CFO",WILL JAWANDO FOR CONGRESS,DEM
500,EVENT STAFFING,INGRID TURNER FOR CONGRESS,DEM
500,EVENT PLANNER,HILLARY FOR AMERICA,DEM
500,ENVIRONMENTAL CONSULTANT,MARTIN HEINRICH FOR SENATE,DEM
500,ENGINEER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
500,ENGINEER,HOYER FOR CONGRESS,DEM
500,ENGINEER,ANTHONY BROWN FOR CONGRESS,DEM
500,ENGINEER,JAMIE RASKIN FOR CONGRESS,DEM
500,ENGINEER,DONNA EDWARDS FOR SENATE,DEM
500,ENGINEER,GLENN IVEY FOR CONGRESS,DEM
500,ENGINEER,FRIENDS OF SHAUGHNESSY NAUGHTON,DEM
500,ENGINEER,MONICA VERNON FOR CONGRESS,DEM
500,ENGINEER,HOYER FOR CONGRESS,DEM
500,ENDODONTIST,KATHLEEN MATTHEWS FOR CONGRESS,DEM
500,ELEVATE HOLDINGS LLC,GLENN IVEY FOR CONGRESS,DEM
500,EDUCATOR,ANTHONY BROWN FOR CONGRESS,DEM
500,EDUCATOR,INGRID TURNER FOR CONGRESS,DEM
500,EDUCATOR,GLENN IVEY FOR CONGRESS,DEM
500,EDUCATOR,DAVIS FOR CONGRESS,DEM
500,EDUCATION LEADERSHIP CONSULTANT,INGRID TURNER FOR CONGRESS,DEM
500,EDITOR,HILLARY FOR AMERICA,DEM
500,EDCUATOR,DCCC,DEM
500,ECONOMIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
500,ECONOMIST,JAMIE RASKIN FOR CONGRESS,DEM
500,ECONOMIST,GLENN IVEY FOR CONGRESS,DEM
500,ECONOMIST,JAMIE RASKIN FOR CONGRESS,DEM
500,ECONOMIST,JAMIE RASKIN FOR CONGRESS,DEM
500,EARLY CHILHOOD EDUCATION,INGRID TURNER FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,DOCTOR,BARVE FOR CONGRESS,DEM
500,"DIRECTOR, GLOBAL CORPORATE RELATIONS",KATHLEEN MATTHEWS FOR CONGRESS,DEM
500,"DIRECTOR, FEDERAL GOVERNMENT AFFAIRS",MARTIN HEINRICH FOR SENATE,DEM
500,"DIRECTOR, BUREAU OF COMPETITION",JAMIE RASKIN FOR CONGRESS,DEM
500,DIRECTOR TRANSPLANT CLINICAL SOLUTIONS,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
500,DIRECTOR STATE AFFAIRS,DAVIS FOR CONGRESS,DEM
500,DIRECTOR OF PUBLICATIONS,JAMIE RASKIN FOR CONGRESS,DEM
500,DIRECTOR OF PUBLIC AFFAIRS,SCHATZ FOR SENATE,DEM
500,DIRECTOR OF GOVERNMENT AFFAIRS & INDUS,FREDERICA S. WILSON FOR CONGRESS,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,DOGGETT FOR CONGRESS,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,FRIENDS OF LOIS CAPPS,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,FRIENDS OF MARK WARNER,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,HILLARY FOR AMERICA,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,HILLARY FOR AMERICA,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,HILLARY FOR AMERICA,DEM
500,DIRECTOR OF FEDERAL AFFAIRS,HILLARY FOR AMERICA,DEM
500,DIRECTOR OF COLLECTIONS,JOE BALDACCI FOR CONGRESS,DEM
500,DIRECTOR OF ADVANCEMENT,"KUSTER FOR CONGRESS, INC",DEM
500,DIRECTOR,DSCC,DEM
500,DIRECTOR,HOYER FOR CONGRESS,DEM
500,DIRECTOR,HASTINGS FOR CONGRESS,DEM
500,DIRECTOR,DONNA EDWARDS FOR SENATE,DEM
500,DIRECTOR,DONNA EDWARDS FOR SENATE,DEM
500,DIRECTOR,HILLARY FOR AMERICA,DEM
499,RETIRED,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
475,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
460,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
450,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
450,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
450,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
450,PRESIDENT,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,DEM
450,HEALTH CARE PROGRAM MANAGER,SUZAN JOHNSON COOK FOR CONGRESS,DEM
450,ENGINEER,HILLARY FOR AMERICA,DEM
431,REAL ESTATE DEVELOPER,ANTHONY BROWN FOR CONGRESS,DEM
427,EXECUTIVE DIRECTOR,JAMIE RASKIN FOR CONGRESS,DEM
416,SENIOR GOVERNMENT AFFAIRS ADVISOR,DSCC,DEM
416,SENIOR GOVERNMENT AFFAIRS ADVISOR,DSCC,DEM
416,SENIOR GOVERNMENT AFFAIRS ADVISOR,DSCC,DEM
416,REAL ESTATE DEVELOPER,GLENN IVEY FOR CONGRESS,DEM
416,REAL ESTATE,GLENN IVEY FOR CONGRESS,DEM
405,PRESIDENT,MARK TAKAI FOR CONGRESS,DEM
400,VICE PROVOST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,"TEACHER, MUSICIAN",ANA SOL-GUTIERREZ FOR CONGRESS,DEM
400,SELF EMPLOYED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,REVEREND,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED PHYSICIST,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,DEM
400,RETIRED,PROGRESSIVES UNITED POLITICAL ACTION COMMITTEE,DEM
400,RETIRED,JAMIE RASKIN FOR CONGRESS,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DCCC,DEM
400,RETIRED,JAMIE RASKIN FOR CONGRESS,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,RESEARCHER,JAMIE RASKIN FOR CONGRESS,DEM
400,REALTOR,DONNA EDWARDS FOR SENATE,DEM
400,PSYCHOLOGIST,JAMIE RASKIN FOR CONGRESS,DEM
400,PSYCHOLOGIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,PRINCIPAL,"COMITE PIERLUISI, INC.",DEM
400,PRESIDENT,INGRID TURNER FOR CONGRESS,DEM
400,PERSONAL FITNESS TRAINER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,OWNER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,NINE ELEVEN FAMILY MEMBER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,MGR.,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,MD,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,MD,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,LOBBYIST,DAVIS FOR CONGRESS,DEM
400,LAWYER,MARTIN HEINRICH FOR SENATE,DEM
400,INFORMATIONAL SPECIALIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
400,EDITOR,DCCC,DEM
400,DOCTOR,BARVE FOR CONGRESS,DEM
399,LAWYER,JAMIE RASKIN FOR CONGRESS,DEM
375,RETIRED,DSCC,DEM
375,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
375,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
370,MD,CONNECTICUT DEMOCRATIC STATE CENTRAL COMMITTEE,DEM
365,ENGINEER,INGRID TURNER FOR CONGRESS,DEM
360,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
360,OWNER,LON JOHNSON FOR CONGRESS,DEM
360,OWNER,LON JOHNSON FOR CONGRESS,DEM
360,OWNER,LON JOHNSON FOR CONGRESS,DEM
352,LOBBYIST,TULSI FOR HAWAI'I,DEM
350,STAFF DIRECTOR/LAWYER,JAMIE RASKIN FOR CONGRESS,DEM
350,RETIRED PHYSICIST,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
350,RETIRED ATTORNEY,RUSS FOR WISCONSIN,DEM
350,RETIRED,GLENN IVEY FOR CONGRESS,DEM
350,RETIRED,JAMIE RASKIN FOR CONGRESS,DEM
350,PUBLIC RELATIONS,BARVE FOR CONGRESS,DEM
350,OFFICER,INGRID TURNER FOR CONGRESS,DEM
350,MUSIC TEACHER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
340,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
340,PROGRAM ANALYST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
340,POLLUTION CONTROL ANALYS,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
333,RETIRED,DSCC,DEM
333,PROFESSOR,DSCC,DEM
333,PHYSICIAN,DSCC,DEM
333,PARTNER,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
333,PARTNER,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
333,PARTNER,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
333,FARMER/COUNSELOR,DSCC,DEM
318,MD,GEORGIA FEDERAL ELECTIONS COMMITTEE,DEM
318,MD,GEORGIA FEDERAL ELECTIONS COMMITTEE,DEM
315,LAW PROFFESSOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
314,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
312,REAL ESTATE DEVELOPMENT,GLENN IVEY FOR CONGRESS,DEM
312,REAL ESTATE DEVELOPER,GLENN IVEY FOR CONGRESS,DEM
312,REAL ESTATE DEVELOPER,GLENN IVEY FOR CONGRESS,DEM
312,REAL ESTATE,GLENN IVEY FOR CONGRESS,DEM
301,DISTRICT PHARMACY MANAGER,JAMIE RASKIN FOR CONGRESS,DEM
300,VP AND ASSOC BROKER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,VP AND ASSOC BROKER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,VP,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
300,VISITING PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
300,"VICE PRESIDENT, BUSINESS TRANSFORMATIO",DAVIS FOR CONGRESS,DEM
300,VETERAN,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,UNEMPLOYED,DCCC,DEM
300,TRADE ASSOCIATION,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,TEACHER,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,DEM
300,SOFTWARE,BERNIE 2016,DEM
300,SMALL REAL ESTATE RENTALS,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,SENIOR VICE PRESIDENT,INGRID TURNER FOR CONGRESS,DEM
300,SCIENTIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,SCIENTIST,HILLARY FOR AMERICA,DEM
300,SCIENTIST,DCCC,DEM
300,SALES,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED PHYSICIST,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,DONNA EDWARDS FOR SENATE,DEM
300,RETIRED,ANTHONY BROWN FOR CONGRESS,DEM
300,RETIRED,RUSS FOR WISCONSIN,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,HOYER FOR CONGRESS,DEM
300,RETIRED,ANTHONY BROWN FOR CONGRESS,DEM
300,RETIRED,BARVE FOR CONGRESS,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM
300,RETIRED,DONNA EDWARDS FOR SENATE,DEM
300,RETIRED,DONNA EDWARDS FOR SENATE,DEM
300,RETIRED,DONNA EDWARDS FOR SENATE,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,DCCC,DEM
300,RETIRED,JOSELINE PENA-MELNYK FOR CONGRESS,DEM
300,RETIRED,HILLARY FOR AMERICA,DEM
300,RETIRED,HILLARY FOR AMERICA,DEM
300,RETIRED,HILLARY FOR AMERICA,DEM
300,RETIRED,WILL JAWANDO FOR CONGRESS,DEM
300,RETIRED,BERNIE 2016,DEM
300,RETIRED,SUZAN JOHNSON COOK FOR CONGRESS,DEM
300,RETIRED,GLENN IVEY FOR CONGRESS,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DSCC,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RETIRED,FRIENDS OF JOHN SARBANES,DEM
300,RETIRED,FRIENDS OF JOHN SARBANES,DEM
300,RESEARCH SCIENTIST,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,RESEARCH DIRECTOR,DSCC,DEM
300,RESEARCH,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,REGISTERED NURSE,HILLARY FOR AMERICA,DEM
300,REAL ESTATE,INGRID TURNER FOR CONGRESS,DEM
300,PSYCHOLOGIST,HILLARY FOR AMERICA,DEM
300,PSYCHOLOGIST,GLENN IVEY FOR CONGRESS,DEM
300,PROJECT MANAGER,GLENN IVEY FOR CONGRESS,DEM
300,PROFESSOR,JAMIE RASKIN FOR CONGRESS,DEM
300,PROFESSOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,PROFESSOR,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,PRESIDENT/CEO,FRIENDS OF BENNIE THOMPSON,DEM
300,PRESIDENT,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
300,PRESIDENT,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
300,PRESIDENT,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,DEM
300,PRESIDENT,HILLARY FOR AMERICA,DEM
300,PRESIDENT,WILL JAWANDO FOR CONGRESS,DEM
300,PLANNER,GLENN IVEY FOR CONGRESS,DEM
300,PHYSICIAN,ERIC LYNN FOR CONGRESS,DEM
300,PHYSICIAN,BERNIE 2016,DEM
300,PHARMACIST,GLENN IVEY FOR CONGRESS,DEM
300,OWNER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,OWNER,BLUMENTHAL FOR CONNECTICUT,DEM
300,OWNER,GLENN IVEY FOR CONGRESS,DEM
300,OWNER,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
300,OMBUDSMAN,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,DEM
